# u-band, st > 0.5
2 H -18.499 0.030 -0.416 0.165 0.637 0.354 1.531 0.081 0.168
# no u-band, st > 0.5
3 B -19.271 0.024 -0.753 0.116 2.928 0.411 1.699 0.089 0.078
3 V -19.246 0.021 -0.791 0.093 1.867 0.343 1.699 0.089 0.066
3 g -19.315 0.022 -0.785 0.105 2.369 0.375 1.699 0.089 0.070
3 r -19.134 0.021 -0.678 0.094 1.728 0.346 1.699 0.089 0.075
3 i -18.518 0.023 -0.599 0.100 0.476 0.374 1.699 0.089 0.090
3 Y -18.528 0.023 -0.415 0.108 0.123 0.398 1.699 0.089 0.102
3 J -18.638 0.025 -0.743 0.122 -0.827 0.445 1.699 0.089 0.112
3 H -18.462 0.032 -0.513 0.168 -0.374 0.606 1.699 0.089 0.169
# no-uband, (B-V) < 0.3
4 B -19.276 0.025 -0.730 0.116 3.053 0.412 1.716 0.202 0.078
4 V -19.247 0.022 -0.780 0.095 1.909 0.351 1.716 0.202 0.068
4 g -19.311 0.023 -0.782 0.106 2.363 0.383 1.716 0.202 0.070
4 r -19.134 0.023 -0.672 0.095 1.744 0.354 1.716 0.202 0.076
4 i -18.524 0.024 -0.589 0.101 0.557 0.381 1.716 0.202 0.092
4 Y -18.529 0.025 -0.409 0.111 0.146 0.418 1.716 0.202 0.104
4 J -18.646 0.026 -0.728 0.126 -0.720 0.465 1.716 0.202 0.115
4 H -18.477 0.035 -0.489 0.174 -0.188 0.644 1.716 0.202 0.175
# no u-band, all objects
5 B -19.304 0.022 -0.682 0.113 3.916 0.321 1.729 0.089 0.077
5 V -19.270 0.019 -0.751 0.092 2.460 0.254 1.729 0.089 0.065
5 g -19.344 0.021 -0.727 0.102 3.166 0.292 1.729 0.089 0.067
5 r -19.154 0.019 -0.655 0.092 2.155 0.238 1.729 0.089 0.074
5 i -18.553 0.020 -0.536 0.099 1.409 0.238 1.729 0.089 0.089
5 Y -18.561 0.021 -0.360 0.107 1.024 0.244 1.729 0.089 0.103
5 J -18.687 0.025 -0.633 0.139 0.639 0.296 1.729 0.089 0.139
5 H -18.495 0.028 -0.456 0.161 0.594 0.331 1.729 0.089 0.164
# Full sample (2018)
6 B -19.182 0.062 -0.89 0.11 -0.02 0.30 1.65 0.08 0.13
6 V -19.181 0.061 -0.89 0.11 -0.02 0.30 1.65 0.08 0.13
6 u -18.818 0.097 -1.28 0.17 0.32 0.44 1.13 0.52 0.22
6 g -19.229 0.084 -0.90 0.11 -0.13 0.31 1.57 0.09 0.13
6 r -19.099 0.059 -0.74 0.10 0.38 0.27 1.78 0.08 0.12
6 i -18.523 0.059 -0.48 0.10 0.41 0.27 1.85 0.09 0.12
6 Y -18.517 0.077 -0.07 0.11 1.19 0.30 1.34 0.21 0.12
6 J -18.633 0.062 -0.37 0.12 0.61 0.32 1.27 0.36 0.11
6 H -18.431 0.062 -0.05 0.12 1.18 0.31 1.28 0.57 0.11
# (B-V) < 0.5 (2018)
7 B -19.161 0.062 -0.94 0.11 -0.36 0.43 1.54 0.14 0.13
7 V -19.161 0.061 -0.94 0.11 -0.37 0.44 1.54 0.14 0.13
7 u -18.793 0.095 -1.35 0.18 -0.47 0.64 1.12 0.51 0.21
7 g -19.206 0.082 -0.97 0.11 -0.57 0.43 1.48 0.14 0.13
7 r -19.081 0.060 -0.77 0.10 0.12 0.41 1.67 0.13 0.13
7 i -18.501 0.060 -0.52 0.10 -0.10 0.41 1.79 0.17 0.13
7 Y -18.497 0.076 -0.10 0.11 0.34 0.41 1.69 0.35 0.12
7 J -18.601 0.062 -0.43 0.11 -0.42 0.45 1.51 0.58 0.11
7 H -18.400 0.062 -0.10 0.12 0.17 0.47 1.33 0.85 0.11
# st > 0.5 (2018)
8 B -19.159 0.062 -0.93 0.12 -0.61 0.43 1.64 0.09 0.13
8 V -19.159 0.061 -0.94 0.11 -0.62 0.43 1.64 0.09 0.13
8 u -18.790 0.097 -1.32 0.18 -0.35 0.70 1.10 0.45 0.22
8 g -19.204 0.084 -0.96 0.12 -0.80 0.43 1.56 0.09 0.13
8 r -19.081 0.060 -0.77 0.11 -0.05 0.39 1.76 0.08 0.12
8 i -18.499 0.059 -0.52 0.10 -0.21 0.38 1.82 0.10 0.12
8 Y -18.480 0.076 -0.11 0.11 0.32 0.42 1.18 0.22 0.11
8 J -18.593 0.060 -0.44 0.12 -0.35 0.45 1.02 0.36 0.11
8 H -18.394 0.061 -0.10 0.12 0.13 0.47 0.82 0.52 0.11
# st > 0.5 and (B-V) < 0.5 (2018)
9 B -19.162 0.061 -0.94 0.11 -0.30 0.46 1.55 0.14 0.13
9 V -19.163 0.061 -0.94 0.11 -0.31 0.46 1.55 0.14 0.13
9 u -18.796 0.095 -1.35 0.17 -0.42 0.69 1.12 0.51 0.21
9 g -19.207 0.083 -0.96 0.11 -0.53 0.46 1.48 0.15 0.13
9 r -19.083 0.060 -0.77 0.10 0.17 0.42 1.68 0.13 0.13
9 i -18.501 0.061 -0.52 0.10 -0.10 0.43 1.78 0.17 0.13
9 Y -18.489 0.075 -0.10 0.10 0.15 0.42 1.59 0.35 0.12
9 J -18.598 0.063 -0.43 0.12 -0.48 0.47 1.48 0.57 0.11
9 H -18.395 0.061 -0.11 0.12 0.03 0.48 1.24 0.84 0.11
